epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60299,0.73816,6.22698,0.03018,0.00333,1,0.82833,0.77867,0.30565,7.25977,0.01357,0,0,0
2,4.33409,1.39054,6.82753,0.05404,0.00333,1,0.82833,0.75545,0.34331,7.29111,0.01568,1.9802e-05,1.9802e-05,1.9802e-05
3,6.01088,0.84276,5.78233,0.02604,0.00333,1,0.66167,0.64025,0.22157,7.20614,0.01032,3.9208e-05,3.9208e-05,3.9208e-05
4,7.90693,0.66415,4.12288,0.01528,0.00333,1,0.82833,0.82833,0.12793,7.13809,0.00605,5.8218e-05,5.8218e-05,5.8218e-05
5,9.77773,0.62571,4.4761,0.01924,0.00333,1,0.82833,0.82833,0.05616,7.09645,0.0026,7.6832e-05,7.6832e-05,7.6832e-05
6,11.6791,0.66961,5.21072,0.02345,0.00333,1,0.995,0.995,0.10145,7.12294,0.00392,9.505e-05,9.505e-05,9.505e-05
7,13.5441,0.66778,4.88516,0.02127,0.00333,1,0.995,0.995,0.10975,7.12998,0.0051,0.000112872,0.000112872,0.000112872
8,15.449,1.25115,6.15819,0.04569,0.00333,1,0.995,0.995,0.14216,7.14715,0.00648,0.000130298,0.000130298,0.000130298
9,17.401,0.60293,4.81366,0.0169,0.00333,1,0.995,0.995,0.11076,7.12309,0.00491,0.000147328,0.000147328,0.000147328
10,19.4058,0.48438,4.67304,0.01287,0.00333,1,0.4975,0.4504,0.24254,7.21272,0.01082,0.000163962,0.000163962,0.000163962
11,21.39,0.94099,6.31859,0.04074,0.00333,1,0.995,0.8955,0.38279,7.31308,0.01807,0.0001802,0.0001802,0.0001802
12,23.3333,1.20223,5.1096,0.03968,0.00333,1,0.745,0.67165,0.37495,7.29962,0.0177,0.000196042,0.000196042,0.000196042
13,25.2372,1.60255,6.91937,0.06184,0.00333,1,0.995,0.8955,0.39156,7.31016,0.01807,0.000211488,0.000211488,0.000211488
